CO_MUNICCO_MUNICCO_STATUCO_TIPO DS_NOME DS_NOMEPDS_OBSERCO_REGIACO_UF   CO_ALTERCO_ALTERIN_CAPITIN_AMAZLIN_SEMIAIN_FRONTDT_INSTADT_EXTINCO_SUCESNU_ORDEMNU_ORDMANU_LATITNU_LONGINU_ALTITNU_AREA
       0       0IGNOR   IGNOR   IgnoradoIGNORADOIgnorado,      ,       0,      ,,       N       N       N       N                                      8
  110000 1100000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       1      110,119999    0,12N       S       N       N                                      8
  230150 2301505ATIVO   MUNIC   ArneirozARNEIROZ               2      23                N       N       S       N           1957                       1        -6,31943-40,1614     3371066,426
  230160 2301604ATIVO   MUNIC   Assare  ASSARE                 2      23                N       N       S       N           1865                       1        -6,87261-39,8713     442 1116,32
  230170 2301703ATIVO   MUNIC   Aurora  AURORA                 2      23                N       N       S       N           1933                       1        -6,94039 -38,977     267 885,827
  230180 2301802ATIVO   MUNIC   Baixio  BAIXIO                 2      23                N       N       S       N           1956                       1        -6,72716-38,7201     279 146,442
  230185 2301851ATIVO   MUNIC   BanabuiuBANABUIU               2      23                N       N       S       N           1989                       1        -5,31505-38,9258     1701079,987
  230190 2301901ATIVO   MUNIC   BarbalhaBARBALHA               2      23                N       N       S       N           1876                       1        -7,30717-39,3023     414 479,184
  230195 2301950ATIVO   MUNIC   BarreiraBARREIRA               2      23                N       N       S       N           1989                       1        -4,28876-38,6385     100 245,946
  230200 2302008ATIVO   MUNIC   Barro   BARRO                  2      23                N       N       S       N           1951                       1        -7,16821-38,7799     362 709,655
  230205 2302057ATIVO   MUNIC   BarroquiBARROQUINHA            2      23                N       N       N       N           1989                       1        -3,00912-41,1395      25 383,426
  230210 2302107ATIVO   MUNIC   BaturiteBATURITE               2      23                N       N       S       N           1858                       1        -4,33121  -38,88     171  308,78
  230220 2302206ATIVO   MUNIC   BeberibeBEBERIBE               2      23                N       N       N       N           1951                       1        -4,17476-38,1233      121616,389
  230230 2302305ATIVO   MUNIC   Bela CruBELA CRUZ              2      23                N       N       N       N           1957                       1        -3,05511-40,1668      15 841,718
  230240 2302404ATIVO   MUNIC   Boa ViagBOA VIAGEM             2      23                N       N       S       N           1936                       1        -5,12574-39,7333     2752836,774
  230250 2302503ATIVO   MUNIC   Brejo SaBREJO SANTO            2      23                N       N       S       N           1890                       1        -7,49164-38,9855     381 661,959
  230260 2302602ATIVO   MUNIC   Camocim CAMOCIM                2      23                N       N       N       N           1879                       1        -2,90097-40,8475       81123,937
  230270 2302701ATIVO   MUNIC   Campos SCAMPOS SALES           2      23                N       N       S       N           1933                       1        -7,07338 -40,379     5661082,771
  230280 2302800ATIVO   MUNIC   Caninde CANINDE                2      23                N       N       S       N           1846                       1        -4,35534-39,3103     1483218,423
  230290 2302909ATIVO   MUNIC   CapistraCAPISTRANO             2      23                N       N       S       N           1951                       1         -4,4599-38,9018     159 194,797
  230300 2303006ATIVO   MUNIC   CaridadeCARIDADE               2      23                N       N       S       N           1958                       1        -4,22496 -39,193     144 846,373
  230310 2303105ATIVO   MUNIC   Carire  CARIRE                 2      23                N       N       S       N           1935                       1        -3,95161-40,4738     158 756,893
  230320 2303204ATIVO   MUNIC   CaririacCARIRIACU              2      23                N       N       S       N           1933                       1        -7,04153-39,2844     715 623,823
  230330 2303303ATIVO   MUNIC   Carius  CARIUS                 2      23                N       N       S       N           1951                       1        -6,53113-39,4977     2401061,825
  230340 2303402ATIVO   MUNIC   CarnaubaCARNAUBAL              2      23                N       N       S       N           1957                       1        -4,16399-40,9356     766  364,75
  230350 2303501ATIVO   MUNIC   CascavelCASCAVEL               2      23                N       N       N       N           1833                       1        -4,13143-38,2397      40 837,967
  230360 2303600ATIVO   MUNIC   CatarinaCATARINA               2      23                N       N       S       N           1957                       1        -6,12756-39,8795     589 486,859
  230365 2303659ATIVO   MUNIC   Catunda CATUNDA                2      23                N       N       S       N           1993                       1        -4,65155-40,2058     280 790,483
  230370 2303709ATIVO   MUNIC   Caucaia CAUCAIA                2      23                N       N       S       N           1903                       1        -3,73649 -38,664      291227,895
  230380 2303808ATIVO   MUNIC   Cedro   CEDRO                  2      23                N       N       S       N           1920                       1        -6,60496-39,0597     250 725,786
  230390 2303907ATIVO   MUNIC   Chaval  CHAVAL                 2      23                N       N       N       N           1951                       1         -3,0389-41,2446      12 238,228
  230393 2303931ATIVO   MUNIC   Choro   CHORO                  2      23                N       N       S       N           1993                       1        -4,84252-39,1375     237 815,759
  230395 2303956ATIVO   MUNIC   ChorozinCHOROZINHO             2      23                N       N       S       N           1989                       1        -4,30217-38,5013      48   278,4
  230400 2304004ATIVO   MUNIC   Coreau  COREAU                 2      23                N       N       S       N           1935                       1        -3,54949 -40,657      72 775,746
  230410 2304103ATIVO   MUNIC   Crateus CRATEUS                2      23                N       N       S       N           1832                       1        -5,17695-40,6684     2742985,411
  230420 2304202ATIVO   MUNIC   Crato   CRATO                  2      23                N       N       S       N           1853                       1        -7,23175-39,4084     4261009,202
  230423 2304236ATIVO   MUNIC   Croata  CROATA                 2      23                N       N       S       N           1989                       1        -4,41406 -40,909     571 700,356
  230425 2304251ATIVO   MUNIC   Cruz    CRUZ                   2      23                N       N       N       N           1986                       1        -2,91671-40,1713      16 334,833
  230426 2304269ATIVO   MUNIC   DeputadoDEPUTADO IRAPUAN       2      23                N       N       S       N           1989                       1        -5,90896-39,2615     288 470,421
